"","answer.keys","n","size","trials_3.thisRepN","participant"
"648","left",6,2,1,"VS"
"649","down",5,3,1,"VS"
"650","down",3,3,1,"VS"
"651","down",5,2,1,"VS"
"652","down",3,1,1,"VS"
"653","down",3,2,1,"VS"
"654","down",2,4,1,"VS"
"655","right",6,1,1,"VS"
"656","down",1,2,1,"VS"
"657","down",2,3,1,"VS"
"658","down",2,2,1,"VS"
"659","down",2,1,1,"VS"
"660","left",5,5,1,"VS"
"661","down",4,4,1,"DC"
"662","down",2,3,1,"DC"
"663","right",6,1,1,"DC"
"664","down",4,3,1,"DC"
"665","down",1,1,1,"DC"
"666","right",3,1,1,"DC"
"667","down",4,2,1,"DC"
"668","down",6,2,1,"DC"
"669","down",1,4,1,"DC"
"670","down",6,4,1,"DC"
"671","down",5,4,1,"DC"
"672","down",3,3,1,"DC"
"673","down",1,3,1,"DC"
"674","down",2,2,1,"DC"
"675","left",4,5,1,"DC"
"676","left",3,4,1,"DC"
"677","down",1,2,1,"DC"
"678","left",6,5,1,"DC"
"679","left",6,3,1,"DC"
"680","left",5,2,1,"DC"
"681","down",1,5,1,"DC"
"682","left",2,1,1,"DC"
"683","down",2,4,1,"DC"
"684","down",2,5,1,"DC"
"685","down",5,1,1,"DC"
"686","down",4,1,1,"DC"
"687","down",5,3,1,"DC"
"688","down",3,5,1,"DC"
"689","down",5,5,1,"DC"
"690","down",3,2,1,"DC"
"691","down",3,1,1,"ZEV"
"692","down",5,4,1,"ZEV"
"693","down",2,2,1,"ZEV"
"694","down",5,1,1,"ZEV"
"695","down",6,2,1,"ZEV"
"696","down",5,2,1,"ZEV"
"697","down",4,3,1,"ZEV"
"698","down",1,5,1,"ZEV"
"699","down",5,5,1,"ZEV"
"700","down",1,3,1,"ZEV"
"701","left",3,5,1,"ZEV"
"702","down",1,4,1,"ZEV"
"703","down",4,4,1,"ZEV"
"704","down",6,5,1,"ZEV"
"705","down",6,1,1,"ZEV"
"706","left",5,3,1,"ZEV"
"707","down",6,4,1,"ZEV"
"708","down",1,2,1,"ZEV"
"709","down",4,2,1,"ZEV"
"710","left",2,5,1,"ZEV"
"711","down",4,5,1,"ZEV"
"712","down",1,1,1,"ZEV"
"713","left",6,3,1,"ZEV"
"714","left",4,1,1,"ZEV"
"715","left",2,1,1,"ZEV"
"716","left",3,4,1,"ZEV"
"717","left",2,4,1,"ZEV"
"718","left",3,2,1,"ZEV"
"719","down",2,3,1,"ZEV"
"720","left",3,3,1,"ZEV"
"721","right",4,3,1,"OR"
"722","down",3,5,1,"OR"
"723","down",2,3,1,"OR"
"724","left",6,4,1,"OR"
"725","down",6,1,1,"OR"
"726","down",1,3,1,"OR"
"727","left",1,4,1,"OR"
"728","right",3,2,1,"OR"
"729","left",2,5,1,"OR"
"730","left",1,5,1,"OR"
"731","down",5,2,1,"OR"
"732","down",3,1,1,"OR"
"733","left",4,1,1,"OR"
"734","left",4,4,1,"OR"
"735","left",2,2,1,"OR"
"736","left",4,2,1,"OR"
"737","left",1,2,1,"OR"
"738","left",5,5,1,"OR"
"739","left",3,3,1,"OR"
"740","left",1,1,1,"OR"
"741","left",6,3,1,"OR"
"742","left",3,4,1,"OR"
"743","right",5,4,1,"OR"
"744","left",5,1,1,"OR"
"745","down",5,3,1,"OR"
"746","down",6,2,1,"OR"
"747","down",2,1,1,"OR"
"748","left",4,5,1,"OR"
"749","down",2,4,1,"OR"
"750","right",6,5,1,"OR"
"751","left",6,4,1,"DN"
"752","left",1,1,1,"DN"
"753","down",3,1,1,"DN"
"754","left",4,4,1,"DN"
"755","left",3,5,1,"DN"
"756","left",1,4,1,"DN"
"757","left",5,1,1,"DN"
"758","down",2,1,1,"DN"
"759","down",6,1,1,"DN"
"760","left",5,5,1,"DN"
"761","down",3,4,1,"DN"
"762","down",4,2,1,"DN"
"763","down",6,3,1,"DN"
"764","left",1,3,1,"DN"
"765","down",2,3,1,"DN"
"766","left",2,5,1,"DN"
"767","left",1,2,1,"DN"
"768","down",1,5,1,"DN"
"769","down",2,4,1,"DN"
"770","down",5,4,1,"DN"
"771","down",4,1,1,"DN"
"772","down",6,5,1,"DN"
"773","left",2,2,1,"DN"
"774","down",3,2,1,"DN"
"775","down",4,5,1,"DN"
"776","left",5,2,1,"DN"
"777","left",4,3,1,"DN"
"778","down",6,2,1,"DN"
"779","down",3,3,1,"DN"
"780","down",5,3,1,"DN"
"781","right",3,4,1,"PISH"
"782","right",6,3,1,"PISH"
"783","down",5,1,1,"PISH"
"784","down",5,4,1,"PISH"
"785","right",2,3,1,"PISH"
"786","right",5,3,1,"PISH"
"787","left",4,4,1,"PISH"
"788","left",4,5,1,"PISH"
"789","left",6,5,1,"PISH"
"790","left",4,3,1,"PISH"
"791","down",4,2,1,"PISH"
"792","down",2,1,1,"PISH"
"793","left",6,2,1,"PISH"
"794","down",1,4,1,"PISH"
"795","down",6,1,1,"PISH"
"796","down",3,5,1,"PISH"
"797","right",3,3,1,"PISH"
"798","right",2,5,1,"PISH"
"799","down",3,1,1,"PISH"
"800","down",5,2,1,"PISH"
"801","down",1,2,1,"PISH"
"802","down",1,1,1,"PISH"
"803","down",6,4,1,"PISH"
"804","right",2,2,1,"PISH"
"805","down",3,2,1,"PISH"
"806","down",1,5,1,"PISH"
"807","down",4,1,1,"PISH"
"808","down",2,4,1,"PISH"
"809","left",5,5,1,"PISH"
"810","left",1,3,1,"PISH"
"811","left",6,3,1,"UO"
"812","left",1,3,1,"UO"
"813","left",5,1,1,"UO"
"814","left",5,4,1,"UO"
"815","left",5,5,1,"UO"
"816","left",4,5,1,"UO"
"817","left",2,3,1,"UO"
"818","left",1,2,1,"UO"
"819","left",3,1,1,"UO"
"820","left",6,4,1,"UO"
"821","left",2,4,1,"UO"
"822","left",6,1,1,"UO"
"823","left",5,3,1,"UO"
"824","right",2,1,1,"UO"
"825","left",1,5,1,"UO"
"826","left",1,1,1,"UO"
"827","left",6,5,1,"UO"
"828","left",2,2,1,"UO"
"829","left",4,4,1,"UO"
"830","right",1,4,1,"UO"
"831","left",4,1,1,"UO"
"832","left",6,2,1,"UO"
"833","down",4,2,1,"UO"
"834","left",4,3,1,"UO"
"835","right",2,5,1,"UO"
"836","left",3,3,1,"UO"
"837","left",3,2,1,"UO"
"838","left",3,4,1,"UO"
"839","left",3,5,1,"UO"
"840","left",5,2,1,"UO"
"841","right",4,2,1,"AK2"
"842","right",1,4,1,"AK2"
"843","down",2,4,1,"AK2"
"844","down",5,1,1,"AK2"
"845","down",4,5,1,"AK2"
"846","down",6,1,1,"AK2"
"847","down",3,4,1,"AK2"
"848","down",6,2,1,"AK2"
"849","down",5,2,1,"AK2"
"850","down",1,3,1,"AK2"
"851","down",5,5,1,"AK2"
"852","down",3,5,1,"AK2"
"853","down",1,5,1,"AK2"
"854","down",3,1,1,"AK2"
"855","down",3,3,1,"AK2"
"856","down",6,5,1,"AK2"
"857","down",6,3,1,"AK2"
"858","down",2,2,1,"AK2"
"859","down",2,5,1,"AK2"
"860","down",4,4,1,"AK2"
"861","down",5,3,1,"AK2"
"862","right",3,2,1,"AK2"
"863","down",2,3,1,"AK2"
"864","down",1,2,1,"AK2"
"865","down",1,1,1,"AK2"
"866","down",4,3,1,"AK2"
"867","left",6,4,1,"AK2"
"868","down",2,1,1,"AK2"
"869","down",4,1,1,"AK2"
"870","left",5,4,1,"AK2"
"871","down",3,4,1,"AA2"
"872","right",6,2,1,"AA2"
"873","left",4,3,1,"AA2"
"874","left",6,4,1,"AA2"
"875","left",6,5,1,"AA2"
"876","left",6,3,1,"AA2"
"877","left",1,4,1,"AA2"
"878","down",1,2,1,"AA2"
"879","down",1,1,1,"AA2"
"880","left",5,5,1,"AA2"
"881","left",2,2,1,"AA2"
"882","down",4,5,1,"AA2"
"883","down",5,4,1,"AA2"
"884","left",4,2,1,"AA2"
"885","left",4,4,1,"AA2"
"886","left",1,5,1,"AA2"
"887","left",3,2,1,"AA2"
"888","left",3,3,1,"AA2"
"889","left",2,5,1,"AA2"
"890","left",3,5,1,"AA2"
"891","down",2,3,1,"AA2"
"892","left",5,2,1,"AA2"
"893","down",1,3,1,"AA2"
"894","down",3,1,1,"AA2"
"895","down",5,1,1,"AA2"
"896","down",6,1,1,"AA2"
"897","left",5,3,1,"AA2"
"898","down",2,1,1,"AA2"
"899","down",2,4,1,"AA2"
"900","down",4,1,1,"AA2"
"901","down",1,1,1,"ADV"
"902","down",4,5,1,"ADV"
"903","down",1,5,1,"ADV"
"904","down",2,4,1,"ADV"
"905","down",2,3,1,"ADV"
"906","down",5,2,1,"ADV"
"907","down",5,5,1,"ADV"
"908","down",5,1,1,"ADV"
"909","left",3,4,1,"ADV"
"910","down",4,2,1,"ADV"
"911","down",4,1,1,"ADV"
"912","down",3,5,1,"ADV"
"913","left",1,2,1,"ADV"
"914","down",4,4,1,"ADV"
"915","down",1,4,1,"ADV"
"916","down",5,4,1,"ADV"
"917","down",3,2,1,"ADV"
"918","down",6,4,1,"ADV"
"919","down",2,1,1,"ADV"
"920","down",6,5,1,"ADV"
"921","down",6,3,1,"ADV"
"922","down",6,1,1,"ADV"
"923","down",5,3,1,"ADV"
"924","down",6,2,1,"ADV"
